name,length,pt1x,pt1y,pt1z,pt2x,pt2y,pt2z
transom_curves1_006_line_005,3693.858663406039,11237.820633359664,56739.400565624295,5309.722109798702,14267.15658045031,54739.40023779864,4625.825748073082
transom_curves1_006_line_006,3544.765835199071,11936.401057869625,56739.40056562435,6406.073066691836,14724.201619786278,54739.400237798676,5515.269192615759
transom_curves1_006_line_007,3420.4071468609663,12632.339827831089,56739.40056562406,7504.060556818922,15180.233268906844,54739.40023779865,6405.232657683233
transom_curves1_006_line_008,3375.1058928439056,13264.432159030395,56739.40056562485,8639.630922080694,15629.364417315652,54739.40023779829,7298.573917205392
transom_curves1_006_line_009,2908.258014422003,14262.604831438495,56739.400565624375,9412.428181578789,16007.812615340286,54739.40023779867,8224.062430576398
transom_curves1_006_line_010,2278.9527823439453,15543.919227724997,56739.40056562417,9336.775077781429,16588.293506072965,54739.40023779872,9015.984118469205
transom_curves1_006_line_011,2210.978010351378,16698.243086981307,56739.40056562409,8741.947630858285,17558.43728313692,54739.40023779871,9127.289551567566
transom_curves1_006_line_012,2213.2496618573205,17874.189034659634,56739.40056562418,8188.868585308187,18525.014122678756,54739.40023779868,8877.998079100433
transom_curves1_006_line_013,2155.4569870157866,19090.231810564066,56739.40056562503,7731.568569488497,19432.58778925318,54739.40023779872,8458.74522988516
transom_curves1_007_line_001,2012.873606886223,12656.995420265175,54739.40023779891,1000.0000237487229,12429.70959581406,52739.399909973254,1000.0000237487226
transom_curves1_007_line_002,2000.5546394693438,12951.449783867178,54739.40023779882,2154.9016890407484,12993.22566269378,52739.39990997318,2176.6348468396163
transom_curves1_007_line_003,2006.4642676774654,13525.523061103284,54739.400237798625,3208.2074278526015,13625.703483482806,52739.399909972824,3334.1495936868314
transom_curves1_007_line_004,2019.2249183076926,14084.145340637231,54739.40023779862,4270.147672429553,14217.209867717063,52739.39990997333,4514.200517212102
transom_curves1_007_line_005,2039.1919714298033,14632.883765651693,54739.40023779865,5337.333698210713,14809.5996965454,52739.3999099733,5693.808192123856
transom_curves1_007_line_006,2066.0062013521424,15180.233268906844,54739.40023779865,6405.232657683233,15401.6559260719,52739.399909973145,6873.583295151954
transom_curves1_007_line_007,2099.4100827350057,15709.018887864991,54739.400237798094,7481.984473832742,15993.067986145748,52739.39990997317,8053.681503696903
transom_curves1_007_line_008,2138.70139653992,16186.379468998011,54739.40023779869,8581.597966655347,16484.257048294734,52739.39990997297,9278.240845045084
transom_curves1_007_line_009,2216.4716653185124,17160.80167903103,54739.4002377988,9165.390041198265,17412.97897252498,52739.39990997303,10086.884449484442
transom_curves1_007_line_010,2179.7546465443797,18337.039883441128,54739.40023779864,8945.850001069672,18679.776092039592,52739.39990997324,9742.003817329854
transom_curves1_007_line_011,2165.403916809715,19432.58778925318,54739.40023779872,8458.74522988516,19867.281269191135,52739.39990997281,9165.862186357383
transom_curves1_008_line_001,2007.594511749459,12429.70959581406,52739.399909973254,1000.0000237487226,12604.102065716917,50739.39416246958,1000.0000237487221
transom_curves1_008_line_002,2005.7754186945963,12993.22566269378,52739.39990997318,2176.6348468396163,13006.039147541935,50739.39038920139,2328.0705152527285
transom_curves1_008_line_003,2017.6364261251406,13625.703483482806,52739.399909972824,3334.1495936868314,13697.485371458915,50739.386676205664,3590.3744428756654
transom_curves1_008_line_004,2036.6341457808026,14217.209867717063,52739.39990997333,4514.200517212102,14343.532276030344,50739.38313719572,4877.317855721958
transom_curves1_008_line_005,2062.46649956885,14809.5996965454,52739.3999099733,5693.808192123856,14989.853595708137,50739.379883800306,6164.123499749922
transom_curves1_008_line_006,2094.8542768699363,15401.6559260719,52739.399909973145,6873.583295151954,15636.215141719054,50739.377027591916,7450.908927379329
transom_curves1_008_line_007,2133.712326808925,15993.067986145748,52739.39990997317,8053.681503696903,16272.432022396486,50739.3746801434,8742.581430297585
transom_curves1_008_line_008,2178.48587680803,16484.257048294734,52739.39990997297,9278.240845045084,16872.000092702277,50739.37295325985,10049.828960159932
transom_curves1_008_line_009,2224.0134273928766,17412.97897252498,52739.39990997303,10086.884449484442,18030.487119886147,50739.37196081046,10838.421285397993
transom_curves1_008_line_010,2247.261115915558,18679.776092039592,52739.39990997324,9742.003817329854,19390.275159261353,50739.37183457381,10480.42192125005
transom_curves1_008_line_011,2234.649999766081,19867.281269191135,52739.39990997281,9165.862186357383,20649.443287016984,50739.37270840866,9783.741132696068
transom_curves1_009_line_001,2032.220458637844,12604.102065716917,50739.39416246958,1000.0000237487221,12243.629653599353,48739.39925432397,1000.0000237487218
transom_curves1_009_line_002,2000.0417970154958,12939.728284968285,50739.390731495834,2215.199546045731,12943.716466383197,48739.399254322045,2228.8148113820644
transom_curves1_009_line_003,2004.5079624759173,13579.949431418443,50739.38734164918,3356.421341607024,13590.311819068706,48739.399254322314,3490.557254405109
transom_curves1_009_line_004,2014.3471605903844,14167.274064827006,50739.38407875109,4526.365139752347,14222.465326251282,48739.399254322154,4760.051061653705
transom_curves1_009_line_005,2029.8870462699063,14754.821925717788,50739.38102676937,5696.197009773223,14859.043437217495,48739.39925432227,6027.334756088014
